,CH1
Second,Volt
5.69340e-01,2.18e+00, 
5.83988e-01,2.18e+00, 
5.98637e-01,2.20e+00, 
6.13285e-01,2.18e+00, 
6.27934e-01,2.18e+00, 
6.42582e-01,2.20e+00, 
6.57230e-01,2.18e+00, 
6.71879e-01,2.18e+00, 
6.86527e-01,2.18e+00, 
7.01176e-01,2.20e+00, 
7.15824e-01,2.18e+00, 
7.30473e-01,2.18e+00, 
7.45121e-01,2.20e+00, 
7.59769e-01,2.18e+00, 
7.74418e-01,2.20e+00, 
7.89066e-01,2.18e+00, 
8.03715e-01,2.18e+00, 
8.18363e-01,2.18e+00, 
8.33012e-01,2.20e+00, 
8.47660e-01,2.18e+00, 
8.62309e-01,2.20e+00, 
8.76957e-01,2.18e+00, 
8.91605e-01,2.18e+00, 
9.06254e-01,2.20e+00, 
9.20902e-01,2.18e+00, 
9.35551e-01,2.18e+00, 
9.50199e-01,2.20e+00, 
9.64848e-01,2.20e+00, 
9.79496e-01,2.20e+00, 
9.94144e-01,2.18e+00, 
1.00879e+00,2.18e+00, 
1.02344e+00,2.20e+00, 
1.03809e+00,2.20e+00, 
1.05274e+00,2.18e+00, 
1.06739e+00,2.18e+00, 
1.08204e+00,2.20e+00, 
1.09668e+00,2.20e+00, 
1.11133e+00,2.18e+00, 
1.12598e+00,2.18e+00, 
1.14063e+00,2.18e+00, 
1.15528e+00,2.18e+00, 
1.16993e+00,2.20e+00, 
1.18457e+00,2.18e+00, 
1.19922e+00,2.18e+00, 
1.21387e+00,2.20e+00, 
1.22852e+00,2.20e+00, 
1.24317e+00,2.18e+00, 
1.25782e+00,2.18e+00, 
1.27246e+00,2.20e+00, 
1.28711e+00,2.20e+00, 
1.30176e+00,2.20e+00, 
1.31641e+00,2.20e+00, 
1.33106e+00,2.18e+00, 
1.34571e+00,2.18e+00, 
1.36036e+00,2.18e+00, 
1.37500e+00,2.20e+00, 
1.38965e+00,2.18e+00, 
1.40430e+00,2.18e+00, 
1.41895e+00,2.18e+00, 
1.43360e+00,2.20e+00, 
1.44825e+00,2.18e+00, 
1.46289e+00,2.18e+00, 
1.47754e+00,2.20e+00, 
1.49219e+00,2.18e+00, 
1.50684e+00,2.20e+00, 
1.52149e+00,2.18e+00, 
1.53614e+00,2.20e+00, 
1.55079e+00,2.18e+00, 
1.56543e+00,2.18e+00, 
1.58008e+00,2.20e+00, 
1.59473e+00,2.18e+00, 
1.60938e+00,2.20e+00, 
1.62403e+00,2.18e+00, 
1.63868e+00,2.18e+00, 
1.65332e+00,2.18e+00, 
1.66797e+00,2.18e+00, 
1.68262e+00,2.20e+00, 
1.69727e+00,2.18e+00, 
1.71192e+00,2.18e+00, 
1.72657e+00,2.18e+00, 
1.74121e+00,2.20e+00, 
1.75586e+00,2.20e+00, 
1.77051e+00,2.18e+00, 
1.78516e+00,2.18e+00, 
1.79981e+00,2.20e+00, 
1.81446e+00,2.18e+00, 
1.82911e+00,2.18e+00, 
1.84375e+00,2.20e+00, 
1.85840e+00,2.18e+00, 
1.87305e+00,2.20e+00, 
1.88770e+00,2.20e+00, 
1.90235e+00,2.18e+00, 
1.91700e+00,2.18e+00, 
1.93164e+00,2.18e+00, 
1.94629e+00,2.18e+00, 
1.96094e+00,2.18e+00, 
1.97559e+00,2.18e+00, 
1.99024e+00,2.18e+00, 
2.00489e+00,2.18e+00, 
2.01954e+00,2.20e+00, 
2.03418e+00,2.18e+00, 
2.04883e+00,2.20e+00, 
2.06348e+00,2.20e+00, 
2.07813e+00,2.18e+00, 
2.09278e+00,2.22e+00, 
2.10743e+00,2.18e+00, 
2.12207e+00,2.18e+00, 
2.13672e+00,2.18e+00, 
2.15137e+00,2.18e+00, 
2.16602e+00,2.18e+00, 
2.18067e+00,2.18e+00, 
2.19532e+00,2.18e+00, 
2.20996e+00,2.18e+00, 
2.22461e+00,2.20e+00, 
2.23926e+00,2.18e+00, 
2.25391e+00,2.20e+00, 
2.26856e+00,2.20e+00, 
2.28321e+00,2.18e+00, 
2.29786e+00,2.18e+00, 
2.31250e+00,2.18e+00, 
2.32715e+00,2.18e+00, 
